"BUILDING_NUMBER","BUILDING_NAME_LONG","BUILDING_GROUP_LEVEL1","CLUSTER_NUM","BUILDING_TYPE","BUILDING_USE","SITE","CAMPUS_SECTOR","YEAR_CONST_BEGAN","YEAR_OCCUPIED","LATITUDE_WGS","LONGITUDE_WGS","OWNERSHIP_TYPE","BUILDING_HEIGHT","NUM_OF_ROOMS","EXT_GROSS_AREA","ASSIGNABLE_AREA","NON_ASSIGNABLE_AREA","BLDG_SRV","CIRCULAT","CLASSRMS","GENERAL","HEALTH","LABS","MECHANIC","OFFICES","RESIDENT","SPECIAL","STUDY","SUPPORT","UNCLASS","USEABLE_AREA","STRUCT_AREA","LEVEL3_CATEGORY","LEVEL2_CATEGORY","NUMBER_OF_UNITS","UNIT_OF_MEASURE","MMBTU","kBTU","GHG","PI_CONNECTION","METER_STATUS","START_DATE","END_DATE","START_DATE_USE"
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Electricity","Produced",145544,"KWH",496.741672,496741.672,44.7429371173219,"Y","Chilled Water Only",2012-09-01,2012-09-30,2012-08-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Chilled Water","Produced",18436,"THR",221.232,221232,8.771324037696,"Y","Chilled Water Only",2013-01-01,2013-01-31,2012-12-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Electricity","Produced",22609,"KWH",77.164517,77164.517,6.95042781073442,"Y","Chilled Water Only",2012-12-01,2012-12-31,2012-11-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Chilled Water","Produced",37691,"THR",452.292,452292,17.932304963376,"Y","Chilled Water Only",2012-07-01,2012-07-31,2012-06-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Electricity","Produced",189646,"KWH",647.261798,647261.798,58.3007135474607,"Y","Chilled Water Only",2012-11-01,2012-11-30,2012-10-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Steam","Produced",613,"MLB",674.3,674300,51.4050730446,"Y","Chilled Water Only",2012-06-01,2012-06-30,2012-05-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Steam","Produced",424,"MLB",466.4,466400,35.5558743408,"Y","Chilled Water Only",2012-07-01,2012-07-31,2012-06-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Chilled Water","Produced",27202,"THR",326.424,326424,12.941937322272,"Y","Chilled Water Only",2012-04-01,2012-04-30,2012-03-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Chilled Water","Produced",38257,"THR",459.084,459084,18.201591652752,"Y","Chilled Water Only",2012-05-01,2012-05-31,2012-04-01
"1","Henry L Pierce Engineering Laboratory","Non-CUP","Lab & Mixed Use","ACADEMIC","AER","MIT","MAIN GROUP",1913,1917,42.3580859045,-71.092357234,"OWNED",81.4,401,116038.74,76072.3,28749.48,2154.71,19523.24,12509.24,147.58,0,28315.91,7071.53,34991.94,0,0,0,107.63,0,104821.78,11216.96,"Chilled Water","Produced",35598,"THR",427.176,427176,16.936515138528,"Y","Chilled Water Only",2012-09-01,2012-09-30,2012-08-01
