Line#,Date,"Voltage (S-VIA 10290124:-1-1), V, Building 1 roof","RH (S-THB 10290124:-1-2), %, Building 1 roof","Solar Radiation (S-LIB 10290124:2375831-1), W/m^2, Building 1 roof","Pressure (S-BPB 10290124:10236707-1), mbar, Building 1 roof","Wind Direction (S-WDA 10290124:10260440-1), *, Building 1 roof","Temperature (S-THB 10290124:10268927-1), *C, Building 1 roof","RH (S-THB 10290124:10268927-2), %, Building 1 roof","Dew Point (S-THB 10290124:10268927-3), *C, Building 1 roof","Battery (U30 BATTERY 10290124:10290124-B), V, Building 1 roof","Wind Speed (S-WSA 10290124:10260479-1), m/s, Building 1 roof","Gust Speed (S-WSA 10290124:10260479-2), m/s, Building 1 roof","Pressure (S-BPB 10290124:10236707-1), mbar, Green Urban Canyon","Wind Direction (S-WDA 10290124:10260440-1), *, Green Urban Canyon","Wind Speed (S-WSA 10290124:10260479-1), m/s, Green Urban Canyon","Gust Speed (S-WSA 10290124:10260479-2), m/s, Green Urban Canyon","Temperature (S-THB 10290124:10268927-1), *C, Green Urban Canyon","RH (S-THB 10290124:10268927-2), %, Green Urban Canyon","Dew Point (S-THB 10290124:10268927-3), *C, Green Urban Canyon","Battery (U30 BATTERY 10290124:10290124-B), V, Green Urban Canyon","Wind Speed (S-WSB 10290124:20214879-1), m/s, Building 1 roof","Gust Speed (S-WSB 10290124:20214879-2), m/s, Building 1 roof"
1,10/03/17 18:50:00,,,1,"1,035.5",175,17.56,60.80,9.92,4.42,,,,,,,,,,,1.5,4.0
2,10/03/17 18:55:00,,,1,"1,035.6",175,17.46,61.70,10.05,4.39,,,,,,,,,,,1.5,3.5
3,10/03/17 19:00:00,,,1,"1,035.5",187,17.30,62.10,9.99,4.38,,,,,,,,,,,0.5,3.0
4,10/03/17 19:05:00,,,1,"1,035.6",183,17.20,62.50,9.99,4.38,,,,,,,,,,,1.0,3.5
5,10/03/17 19:10:00,,,1,"1,035.5",194,17.08,62.90,9.98,4.38,,,,,,,,,,,1.0,3.5
6,10/03/17 19:15:00,,,1,"1,035.5",174,16.94,63.90,10.08,4.38,,,,,,,,,,,1.0,3.0
7,10/03/17 19:20:00,,,1,"1,035.4",191,16.87,64.50,10.15,4.37,,,,,,,,,,,1.5,4.0
8,10/03/17 19:25:00,,,1,"1,035.5",184,16.80,65.30,10.27,4.37,,,,,,,,,,,1.0,3.5
9,10/03/17 19:30:00,,,1,"1,035.4",183,16.63,66.20,10.31,4.37,,,,,,,,,,,1.5,4.0
10,10/03/17 19:35:00,,,1,"1,035.5",187,16.42,66.80,10.24,4.36,,,,,,,,,,,1.5,4.0
11,10/03/17 19:40:00,,,1,"1,035.5",187,16.27,67.50,10.26,4.33,,,,,,,,,,,2.0,5.5
12,10/03/17 19:45:00,,,1,"1,035.3",204,16.18,67.80,10.24,4.34,,,,,,,,,,,2.0,4.5
13,10/03/17 19:50:00,,,1,"1,035.4",192,16.13,68.80,10.41,4.34,,,,,,,,,,,1.0,4.0
14,10/03/17 19:55:00,,,1,"1,035.2",198,15.94,69.00,10.27,4.34,,,,,,,,,,,2.0,5.0
15,10/03/17 20:00:00,,,1,"1,035.4",190,15.82,69.20,10.20,4.34,,,,,,,,,,,2.0,5.0
16,10/03/17 20:05:00,,,1,"1,035.4",205,15.70,69.80,10.22,4.34,,,,,,,,,,,2.5,5.0
17,10/03/17 20:10:00,,,1,"1,035.4",192,15.63,70.40,10.28,4.34,,,,,,,,,,,1.5,4.0
18,10/03/17 20:15:00,,,1,"1,035.3",192,15.49,70.60,10.18,4.34,,,,,,,,,,,1.5,5.5
19,10/03/17 20:20:00,,,1,"1,035.5",194,15.41,70.80,10.16,4.34,,,,,,,,,,,2.0,5.5
20,10/03/17 20:25:00,,,1,"1,035.5",192,15.34,71.20,10.17,4.34,,,,,,,,,,,2.0,5.5
21,10/03/17 20:30:00,,,1,"1,035.2",187,15.27,71.40,10.14,4.34,,,,,,,,,,,2.0,5.5
22,10/03/17 20:35:00,,,1,"1,035.3",191,15.22,71.80,10.18,4.34,,,,,,,,,,,2.0,4.0
23,10/03/17 20:40:00,,,1,"1,034.8",183,15.08,71.80,10.04,4.32,,,,,,,,,,,1.5,4.0
24,10/03/17 20:45:00,,,1,"1,035.2",188,15.03,72.40,10.12,4.33,,,,,,,,,,,2.0,5.5
25,10/03/17 20:50:00,,,1,"1,035.3",198,14.94,72.80,10.11,4.33,,,,,,,,,,,1.5,5.0
26,10/03/17 20:55:00,,,1,"1,035.2",194,14.91,73.10,10.15,4.33,,,,,,,,,,,1.5,5.5
27,10/03/17 21:00:00,,,1,"1,035.2",204,14.94,73.70,10.30,4.34,,,,,,,,,,,1.0,3.0
28,10/03/17 21:05:00,,,1,"1,035.1",194,14.82,73.70,10.18,4.34,,,,,,,,,,,1.5,4.5
29,10/03/17 21:10:00,,,1,"1,035.1",197,14.74,74.20,10.21,4.34,,,,,,,,,,,1.5,3.5
30,10/03/17 21:15:00,,,1,"1,035.1",198,14.70,74.60,10.25,4.34,,,,,,,,,,,1.0,3.0
31,10/03/17 21:20:00,,,1,"1,035.1",197,14.67,74.70,10.24,4.34,,,,,,,,,,,1.0,3.0
32,10/03/17 21:25:00,,,1,"1,035.3",190,14.65,74.80,10.24,4.34,,,,,,,,,,,0.5,2.5
33,10/03/17 21:30:00,,,1,"1,035.1",178,14.70,74.60,10.25,4.34,,,,,,,,,,,0.5,2.5
34,10/03/17 21:35:00,,,1,"1,035.1",204,14.55,74.40,10.07,4.34,,,,,,,,,,,1.0,5.5
35,10/03/17 21:40:00,,,1,"1,034.9",205,14.48,74.60,10.04,4.32,,,,,,,,,,,1.5,5.0
36,10/03/17 21:45:00,,,1,"1,034.9",197,14.46,74.70,10.04,4.32,,,,,,,,,,,1.0,3.5
37,10/03/17 21:50:00,,,1,"1,034.9",194,14.43,74.60,9.99,4.33,,,,,,,,,,,1.0,4.0
38,10/03/17 21:55:00,,,1,"1,034.9",191,14.36,74.70,9.94,4.33,,,,,,,,,,,2.0,4.5
39,10/03/17 22:00:00,,,1,"1,034.9",201,14.24,75.10,9.91,4.33,,,,,,,,,,,1.5,5.0
40,10/03/17 22:05:00,,,1,"1,034.6",202,14.10,75.20,9.79,4.33,,,,,,,,,,,1.5,4.0
41,10/03/17 22:10:00,,,1,"1,034.6",204,14.03,75.70,9.82,4.34,,,,,,,,,,,2.0,4.5
42,10/03/17 22:15:00,,,1,"1,034.6",206,14.07,75.80,9.88,4.34,,,,,,,,,,,2.0,5.0
43,10/03/17 22:20:00,,,1,"1,034.4",201,14.07,75.50,9.82,4.34,,,,,,,,,,,1.5,4.5
44,10/03/17 22:25:00,,,1,"1,034.5",188,14.00,75.80,9.81,4.34,,,,,,,,,,,1.5,3.5
45,10/03/17 22:30:00,,,1,"1,034.5",198,13.91,75.80,9.72,4.34,,,,,,,,,,,1.5,5.0
46,10/03/17 22:35:00,,,1,"1,034.4",188,13.88,76.10,9.76,4.34,,,,,,,,,,,1.5,5.0
47,10/03/17 22:40:00,,,1,"1,034.5",202,13.76,76.10,9.64,4.32,,,,,,,,,,,1.5,3.5
48,10/03/17 22:45:00,,,1,"1,034.3",204,13.81,76.50,9.77,4.32,,,,,,,,,,,1.0,4.0
49,10/03/17 22:50:00,,,1,"1,034.3",191,13.79,76.30,9.70,4.33,,,,,,,,,,,2.0,3.5
50,10/03/17 22:55:00,,,1,"1,034.1",202,13.67,76.50,9.63,4.33,,,,,,,,,,,1.5,5.0
51,10/03/17 23:00:00,,,1,"1,034.2",202,13.59,76.50,9.56,4.33,,,,,,,,,,,1.0,3.5
