shapeid,OBJECTID,BUILDING_NUMBER,LAYER,Shape_Leng,Shape_Area,x,y,Path
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09220231,42.3583671,2261
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09251327,42.35826301,2262
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09228599,42.35788799,2263
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09192792,42.35800848,2264
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09193236,42.35801969,2265
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09175402,42.35807864,2266
87,91,1,C-BLDG,1176.068184,30287.72068,-71.0917308,42.358042,2267
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09171812,42.35804621,2268
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09168596,42.35799048,2269
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09169704,42.35798698,2270
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09167425,42.35794738,2271
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09185211,42.35788758,2272
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09185662,42.35789528,2273
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09185821,42.3578949,2274
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09243656,42.35770015,2275
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09251183,42.35782436,2276
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09251854,42.35782263,2277
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09273474,42.3581776,2278
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09272888,42.35817972,2279
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09280278,42.35830396,2280
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09276489,42.35831708,2281
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09278304,42.35834787,2282
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09260793,42.35840632,2283
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09261608,42.35841976,2284
87,91,1,C-BLDG,1176.068184,30287.72068,-71.0922991,42.35852615,2285
87,91,1,C-BLDG,1176.068184,30287.72068,-71.09220231,42.3583671,2286
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09007504,42.35915102,2097
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09004811,42.35910507,2098
78,82,2,C-BLDG,1174.754375,30641.49807,-71.0900335,42.35908096,2099
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09002756,42.35908373,2100
78,82,2,C-BLDG,1174.754375,30641.49807,-71.08979334,42.3587085,2101
78,82,2,C-BLDG,1174.754375,30641.49807,-71.08980328,42.35870519,2102
78,82,2,C-BLDG,1174.754375,30641.49807,-71.08974406,42.35860062,2103
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09032715,42.3584066,2104
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09032395,42.35840227,2105
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09033446,42.3583985,2106
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09033358,42.35839702,2107
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09049395,42.35834229,2108
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09049905,42.35835115,2109
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09050412,42.3583496,2110
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09052022,42.35837787,2111
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09053022,42.35837502,2112
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09056617,42.35842965,2113
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09055634,42.35843279,2114
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09057835,42.35847381,2115
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09040037,42.35853396,2116
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09039341,42.35852321,2117
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09003514,42.35864429,2118
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09025925,42.35901576,2119
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09056867,42.35891253,2120
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09066514,42.35907154,2121
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09041122,42.35915729,2122
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09040679,42.35914999,2123
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09017132,42.35922998,2124
78,82,2,C-BLDG,1174.754375,30641.49807,-71.0901455,42.35919032,2125
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09011007,42.35920392,2126
78,82,2,C-BLDG,1174.754375,30641.49807,-71.09007504,42.35915102,2127
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09224639,42.35951861,2173
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09217142,42.35939504,2174
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09219103,42.35938796,2175
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09220057,42.35940048,2176
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09250574,42.35929709,2177
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09205829,42.35856352,2178
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09205131,42.3585663,2179
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09196805,42.35843132,2180
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09214647,42.35837202,2181
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09215483,42.35838399,2182
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09220231,42.3583671,2183
82,86,3,C-BLDG,1162.583325,33072.87522,-71.0922991,42.35852615,2184
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09273167,42.35923697,2185
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09282298,42.3593881,2186
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09260403,42.35946134,2187
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09254748,42.35948024,2188
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09250856,42.3594919,2189
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09228875,42.35956612,2190
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09225875,42.35951805,2191
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09224797,42.35952083,2192
82,86,3,C-BLDG,1162.583325,33072.87522,-71.09224639,42.35951861,2193
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09109798,42.35978231,2128
79,83,4,C-BLDG,1170.44936,33498.72515,-71.0908989,42.3594554,2129
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09066514,42.35907154,2130
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09056867,42.35891253,2131
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09061602,42.35889673,2132
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09061984,42.35889584,2133
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09061363,42.35888412,2134
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09079074,42.35882674,2135
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09081551,42.35886609,2136
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09082729,42.35886216,2137
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09086054,42.35891612,2138
79,83,4,C-BLDG,1170.44936,33498.72515,-71.0908493,42.35891976,2139
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09087403,42.35895903,2140
79,83,4,C-BLDG,1170.44936,33498.72515,-71.0908665,42.35896208,2141
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09131171,42.35969698,2142
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09161468,42.35959661,2143
79,83,4,C-BLDG,1170.44936,33498.72515,-71.0916057,42.35958379,2144
79,83,4,C-BLDG,1170.44936,33498.72515,-71.0916273,42.35957589,2145
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09170336,42.35970098,2146
